team,Ball Possession,Blocked Shots,Corner Kicks,Fouls,Goalkeeper Saves,Offsides,Passes %,Passes accurate,Red Cards,Shots insidebox,Shots off Goal,Shots on Goal,Shots outsidebox,Total Shots,Total passes,Yellow Cards,fixture_id,league_id,league,event_date,event_timestamp,firstHalfStart,secondHalfStart,round,status,statusShort,elapsed,venue,referee,homeTeam,awayTeam,goalsHomeTeam,goalsAwayTeam,score
home,49%,2,5,8,4,1,76%,343,0,7,7,5,7,14,449,2,17696,56,"{'name': 'Premier League', 'country': 'England', 'logo': 'https://media.api-football.com/leagues/56.png', 'flag': 'https://media.api-football.com/flags/gb.svg'}",2016-08-13T11:30:00+00:00,1471087800,1471087800,1471091400,Regular Season - 1,Match Finished,FT,90,KCOM Stadium (Hull),,"{'team_id': 64, 'team_name': 'Hull City', 'logo': 'https://media.api-football.com/teams/64.png'}","{'team_id': 46, 'team_name': 'Leicester', 'logo': 'https://media.api-football.com/teams/46.png'}",2.0,1.0,"{'halftime': '1-0', 'fulltime': '2-1', 'extratime': None, 'penalty': None}"
away,51%,4,3,17,3,0,78%,352,0,9,9,5,9,18,453,2,17696,56,"{'name': 'Premier League', 'country': 'England', 'logo': 'https://media.api-football.com/leagues/56.png', 'flag': 'https://media.api-football.com/flags/gb.svg'}",2016-08-13T11:30:00+00:00,1471087800,1471087800,1471091400,Regular Season - 1,Match Finished,FT,90,KCOM Stadium (Hull),,"{'team_id': 64, 'team_name': 'Hull City', 'logo': 'https://media.api-football.com/teams/64.png'}","{'team_id': 46, 'team_name': 'Leicester', 'logo': 'https://media.api-football.com/teams/46.png'}",2.0,1.0,"{'halftime': '1-0', 'fulltime': '2-1', 'extratime': None, 'penalty': None}"
home,47%,2,7,10,7,3,71%,249,0,6,5,3,4,10,353,3,17691,56,"{'name': 'Premier League', 'country': 'England', 'logo': 'https://media.api-football.com/leagues/56.png', 'flag': 'https://media.api-football.com/flags/gb.svg'}",2016-08-13T14:00:00+00:00,1471096800,1471096800,1471100400,Regular Season - 1,Match Finished,FT,90,Turf Moor (Burnley),,"{'team_id': 44, 'team_name': 'Burnley', 'logo': 'https://media.api-football.com/teams/44.png'}","{'team_id': 76, 'team_name': 'Swansea', 'logo': 'https://media.api-football.com/teams/76.png'}",0.0,1.0,"{'halftime': '0-0', 'fulltime': '0-1', 'extratime': None, 'penalty': None}"
away,53%,2,4,14,3,2,78%,297,0,11,6,9,6,17,383,2,17691,56,"{'name': 'Premier League', 'country': 'England', 'logo': 'https://media.api-football.com/leagues/56.png', 'flag': 'https://media.api-football.com/flags/gb.svg'}",2016-08-13T14:00:00+00:00,1471096800,1471096800,1471100400,Regular Season - 1,Match Finished,FT,90,Turf Moor (Burnley),,"{'team_id': 44, 'team_name': 'Burnley', 'logo': 'https://media.api-football.com/teams/44.png'}","{'team_id': 76, 'team_name': 'Swansea', 'logo': 'https://media.api-football.com/teams/76.png'}",0.0,1.0,"{'halftime': '0-0', 'fulltime': '0-1', 'extratime': None, 'penalty': None}"
home,62%,3,3,12,2,0,72%,298,0,7,7,4,7,14,414,2,17692,56,"{'name': 'Premier League', 'country': 'England', 'logo': 'https://media.api-football.com/leagues/56.png', 'flag': 'https://media.api-football.com/flags/gb.svg'}",2016-08-13T14:00:00+00:00,1471096800,1471096800,1471100400,Regular Season - 1,Match Finished,FT,90,Selhurst Park (London),,"{'team_id': 52, 'team_name': 'Crystal Palace', 'logo': 'https://media.api-football.com/teams/52.png'}","{'team_id': 60, 'team_name': 'West Brom', 'logo': 'https://media.api-football.com/teams/60.png'}",0.0,1.0,"{'halftime': '0-0', 'fulltime': '0-1', 'extratime': None, 'penalty': None}"
away,38%,2,6,15,4,2,58%,143,0,8,8,3,5,13,245,2,17692,56,"{'name': 'Premier League', 'country': 'England', 'logo': 'https://media.api-football.com/leagues/56.png', 'flag': 'https://media.api-football.com/flags/gb.svg'}",2016-08-13T14:00:00+00:00,1471096800,1471096800,1471100400,Regular Season - 1,Match Finished,FT,90,Selhurst Park (London),,"{'team_id': 52, 'team_name': 'Crystal Palace', 'logo': 'https://media.api-football.com/teams/52.png'}","{'team_id': 60, 'team_name': 'West Brom', 'logo': 'https://media.api-football.com/teams/60.png'}",0.0,1.0,"{'halftime': '0-0', 'fulltime': '0-1', 'extratime': None, 'penalty': None}"
home,42%,2,5,10,3,5,73%,262,0,6,4,6,6,12,361,,17693,56,"{'name': 'Premier League', 'country': 'England', 'logo': 'https://media.api-football.com/leagues/56.png', 'flag': 'https://media.api-football.com/flags/gb.svg'}",2016-08-13T14:00:00+00:00,1471096800,1471096800,1471100400,Regular Season - 1,Match Finished,FT,90,Goodison Park (Liverpool),,"{'team_id': 45, 'team_name': 'Everton', 'logo': 'https://media.api-football.com/teams/45.png'}","{'team_id': 47, 'team_name': 'Tottenham', 'logo': 'https://media.api-football.com/teams/47.png'}",1.0,1.0,"{'halftime': '1-0', 'fulltime': '1-1', 'extratime': None, 'penalty': None}"
away,58%,5,6,14,5,0,80%,384,0,8,4,4,5,13,483,,17693,56,"{'name': 'Premier League', 'country': 'England', 'logo': 'https://media.api-football.com/leagues/56.png', 'flag': 'https://media.api-football.com/flags/gb.svg'}",2016-08-13T14:00:00+00:00,1471096800,1471096800,1471100400,Regular Season - 1,Match Finished,FT,90,Goodison Park (Liverpool),,"{'team_id': 45, 'team_name': 'Everton', 'logo': 'https://media.api-football.com/teams/45.png'}","{'team_id': 47, 'team_name': 'Tottenham', 'logo': 'https://media.api-football.com/teams/47.png'}",1.0,1.0,"{'halftime': '1-0', 'fulltime': '1-1', 'extratime': None, 'penalty': None}"
home,45%,4,9,18,0,1,75%,262,0,8,6,2,4,12,349,3,17694,56,"{'name': 'Premier League', 'country': 'England', 'logo': 'https://media.api-football.com/leagues/56.png', 'flag': 'https://media.api-football.com/flags/gb.svg'}",2016-08-13T14:00:00+00:00,1471096800,1471096800,1471100400,Regular Season - 1,Match Finished,FT,90,Riverside Stadium (Middlesbrough),,"{'team_id': 70, 'team_name': 'Middlesbrough', 'logo': 'https://media.api-football.com/teams/70.png'}","{'team_id': 75, 'team_name': 'Stoke City', 'logo': 'https://media.api-football.com/teams/75.png'}",1.0,1.0,"{'halftime': '1-0', 'fulltime': '1-1', 'extratime': None, 'penalty': None}"
away,55%,2,6,14,1,2,79%,330,0,7,9,1,5,12,420,5,17694,56,"{'name': 'Premier League', 'country': 'England', 'logo': 'https://media.api-football.com/leagues/56.png', 'flag': 'https://media.api-football.com/flags/gb.svg'}",2016-08-13T14:00:00+00:00,1471096800,1471096800,1471100400,Regular Season - 1,Match Finished,FT,90,Riverside Stadium (Middlesbrough),,"{'team_id': 70, 'team_name': 'Middlesbrough', 'logo': 'https://media.api-football.com/teams/70.png'}","{'team_id': 75, 'team_name': 'Stoke City', 'logo': 'https://media.api-football.com/teams/75.png'}",1.0,1.0,"{'halftime': '1-0', 'fulltime': '1-1', 'extratime': None, 'penalty': None}"
home,64%,8,6,8,0,1,85%,495,0,11,10,6,13,24,583,1,17695,56,"{'name': 'Premier League', 'country': 'England', 'logo': 'https://media.api-football.com/leagues/56.png', 'flag': 'https://media.api-football.com/flags/gb.svg'}",2016-08-13T14:00:00+00:00,1471096800,1471096800,1471100400,Regular Season - 1,Match Finished,FT,90,"St. Mary's Stadium (Southampton, Hampshire)",,"{'team_id': 41, 'team_name': 'Southampton', 'logo': 'https://media.api-football.com/teams/41.png'}","{'team_id': 38, 'team_name': 'Watford', 'logo': 'https://media.api-football.com/teams/38.png'}",1.0,1.0,"{'halftime': '0-1', 'fulltime': '1-1', 'extratime': None, 'penalty': None}"
away,36%,0,2,12,6,0,69%,224,1,1,4,1,4,5,325,2,17695,56,"{'name': 'Premier League', 'country': 'England', 'logo': 'https://media.api-football.com/leagues/56.png', 'flag': 'https://media.api-football.com/flags/gb.svg'}",2016-08-13T14:00:00+00:00,1471096800,1471096800,1471100400,Regular Season - 1,Match Finished,FT,90,"St. Mary's Stadium (Southampton, Hampshire)",,"{'team_id': 41, 'team_name': 'Southampton', 'logo': 'https://media.api-football.com/teams/41.png'}","{'team_id': 38, 'team_name': 'Watford', 'logo': 'https://media.api-football.com/teams/38.png'}",1.0,1.0,"{'halftime': '0-1', 'fulltime': '1-1', 'extratime': None, 'penalty': None}"
home,76%,4,9,11,2,1,86%,585,0,9,8,4,8,16,681,1,17690,56,"{'name': 'Premier League', 'country': 'England', 'logo': 'https://media.api-football.com/leagues/56.png', 'flag': 'https://media.api-football.com/flags/gb.svg'}",2016-08-13T16:30:00+00:00,1471105800,1471105800,1471109400,Regular Season - 1,Match Finished,FT,90,Etihad Stadium (Manchester),,"{'team_id': 50, 'team_name': 'Manchester City', 'logo': 'https://media.api-football.com/teams/50.png'}","{'team_id': 746, 'team_name': 'Sunderland', 'logo': 'https://media.api-football.com/teams/746.png'}",2.0,1.0,"{'halftime': '1-0', 'fulltime': '2-1', 'extratime': None, 'penalty': None}"
away,24%,2,6,14,3,2,55%,104,0,4,2,3,3,7,189,2,17690,56,"{'name': 'Premier League', 'country': 'England', 'logo': 'https://media.api-football.com/leagues/56.png', 'flag': 'https://media.api-football.com/flags/gb.svg'}",2016-08-13T16:30:00+00:00,1471105800,1471105800,1471109400,Regular Season - 1,Match Finished,FT,90,Etihad Stadium (Manchester),,"{'team_id': 50, 'team_name': 'Manchester City', 'logo': 'https://media.api-football.com/teams/50.png'}","{'team_id': 746, 'team_name': 'Sunderland', 'logo': 'https://media.api-football.com/teams/746.png'}",2.0,1.0,"{'halftime': '1-0', 'fulltime': '2-1', 'extratime': None, 'penalty': None}"
home,47%,4,4,7,4,3,85%,412,0,6,2,3,3,9,483,0,17689,56,"{'name': 'Premier League', 'country': 'England', 'logo': 'https://media.api-football.com/leagues/56.png', 'flag': 'https://media.api-football.com/flags/gb.svg'}",2016-08-14T12:30:00+00:00,1471177800,1471177800,1471181400,Regular Season - 1,Match Finished,FT,90,"Vitality Stadium (Bournemouth, Dorset)",,"{'team_id': 35, 'team_name': 'Bournemouth', 'logo': 'https://media.api-football.com/teams/35.png'}","{'team_id': 33, 'team_name': 'Manchester United', 'logo': 'https://media.api-football.com/teams/33.png'}",1.0,3.0,"{'halftime': '0-1', 'fulltime': '1-3', 'extratime': None, 'penalty': None}"
away,53%,2,2,10,2,4,87%,488,0,8,2,7,3,11,561,1,17689,56,"{'name': 'Premier League', 'country': 'England', 'logo': 'https://media.api-football.com/leagues/56.png', 'flag': 'https://media.api-football.com/flags/gb.svg'}",2016-08-14T12:30:00+00:00,1471177800,1471177800,1471181400,Regular Season - 1,Match Finished,FT,90,"Vitality Stadium (Bournemouth, Dorset)",,"{'team_id': 35, 'team_name': 'Bournemouth', 'logo': 'https://media.api-football.com/teams/35.png'}","{'team_id': 33, 'team_name': 'Manchester United', 'logo': 'https://media.api-football.com/teams/33.png'}",1.0,3.0,"{'halftime': '0-1', 'fulltime': '1-3', 'extratime': None, 'penalty': None}"
home,50%,1,5,13,3,4,80%,386,0,6,3,5,3,9,485,3,17688,56,"{'name': 'Premier League', 'country': 'England', 'logo': 'https://media.api-football.com/leagues/56.png', 'flag': 'https://media.api-football.com/flags/gb.svg'}",2016-08-14T15:00:00+00:00,1471186800,1471186800,1471190400,Regular Season - 1,Match Finished,FT,90,Emirates Stadium (London),,"{'team_id': 42, 'team_name': 'Arsenal', 'logo': 'https://media.api-football.com/teams/42.png'}","{'team_id': 40, 'team_name': 'Liverpool', 'logo': 'https://media.api-football.com/teams/40.png'}",3.0,4.0,"{'halftime': '1-1', 'fulltime': '3-4', 'extratime': None, 'penalty': None}"
away,50%,6,4,17,2,3,79%,380,0,12,3,7,4,16,479,3,17688,56,"{'name': 'Premier League', 'country': 'England', 'logo': 'https://media.api-football.com/leagues/56.png', 'flag': 'https://media.api-football.com/flags/gb.svg'}",2016-08-14T15:00:00+00:00,1471186800,1471186800,1471190400,Regular Season - 1,Match Finished,FT,90,Emirates Stadium (London),,"{'team_id': 42, 'team_name': 'Arsenal', 'logo': 'https://media.api-football.com/teams/42.png'}","{'team_id': 40, 'team_name': 'Liverpool', 'logo': 'https://media.api-football.com/teams/40.png'}",3.0,4.0,"{'halftime': '1-1', 'fulltime': '3-4', 'extratime': None, 'penalty': None}"
